trade_date,dailyPnl,Energy,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,0.0,0.0,0.0
20100223,0.0,0.0,0.0
20100224,0.0,0.0,0.0
20100225,0.0,0.0,0.0
20100226,0.0,0.0,0.0
20100301,0.0,0.0,0.0
20100302,0.0,0.0,0.0
20100303,0.0,0.0,0.0
20100304,0.0,0.0,0.0
20100305,0.0,0.0,0.0
20100308,-0.1602656625246327,-0.1602656625246327,-0.1602656625246327
20100309,0.03879674921786729,0.03879674921786729,-0.1214689133067654
20100310,0.00042083381477923254,0.00042083381477923254,-0.12104807949198618
20100311,0.22997433762414735,0.22997433762414735,0.10892625813216117
20100312,-0.013220352072984694,-0.013220352072984694,0.09570590605917648
20100315,0.7597919322577156,0.7597919322577156,0.8554978383168921
20100316,-0.1315887765428667,-0.1315887765428667,0.7239090617740254
20100317,-0.5970385199387996,-0.5970385199387996,0.12687054183522573
20100318,0.2029974543249582,0.2029974543249582,0.3298679961601839
20100319,-0.6142989199869158,-0.6142989199869158,-0.28443092382673185
