trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,0.0,,,,
20100118,0.0,,,,
20100119,0.0,,,,
20100120,0.0,,,,
20100121,0.0,,,,
20100122,0.0,,,,
20100125,0.0,,,,
20100126,0.0,,,,
20100127,0.0,,,,
20100128,0.0,,,,
20100129,0.0,,,,
20100201,0.0,,,,
20100202,0.0,,,,
20100203,0.0,,,,
20100204,0.0,,,,
20100205,0.0,,,,
20100208,0.0,,,,
20100209,0.0,,,,
20100210,0.0,,,,
20100211,0.0,,,,
20100212,0.0,,,,
20100222,0.0,,,,
20100223,0.0,,,,
20100224,0.0,,,,
20100225,0.0,,,,
20100226,0.0,,,,
20100301,0.0,,,,
20100302,0.0,,,,
20100303,0.0,,,,
20100304,0.0,,,,
20100305,0.0,,,,
20100308,0.0,,,,
20100309,0.0,,,,
20100310,0.0,,,,
20100311,0.0,,,,
20100312,0.0,,,,
20100315,0.0,,,,
20100316,0.0,,,,
20100317,0.0,,,,
20100318,0.0,,,,
20100319,0.0,,,,
20100322,0.23321154124525217,,,,
20100323,0.4283763023597675,,,,
20100324,0.5888828497094659,,,,
20100325,0.715429244560986,,,,
20100326,0.8176873130237069,,,,
20100329,0.8980260349490161,,,,
20100330,0.9742001157663926,,,,
20100331,1.0272382546770324,,,,
20100401,1.070231084035973,,,,
20100402,1.1005302805494737,,,,
20100406,1.1231366112114833,,,,
20100407,1.1413552498899628,,,,
20100408,1.1482018830480276,,,,
20100409,1.15193820659554,,,,
20100412,1.1487502913290255,,,,
20100413,1.1462405457776366,,,,
20100414,1.2225963351633178,,,,
20100415,1.2723868176944677,,,,
20100416,1.3216505521211925,,,,
20100419,1.318431474138796,,,,
20100420,1.314668337072122,,,,
20100421,1.2821405997656765,,,,
20100422,1.2599362929544138,,,,
20100423,1.234143599679822,,,,
20100426,1.2129537121519762,,,,
20100427,1.1898226279155062,,,,
20100428,1.1601763550439501,,,,
20100429,1.133061469157446,,,,
