trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,0.0,,,,
20100118,0.0,,,,
20100119,0.0,,,,
20100120,0.0,,,,
20100121,0.0,,,,
20100122,0.0,,,,
20100125,0.0,,,,
20100126,0.0,,,,
20100127,0.0,,,,
20100128,0.0,,,,
20100129,0.0,,,,
20100201,0.0,,,,
20100202,0.0,,,,
20100203,0.0,,,,
20100204,0.0,,,,
20100205,0.0,,,,
20100208,0.0,,,,
20100209,0.0,,,,
20100210,0.0,,,,
20100211,0.0,,,,
20100212,0.0,,,,
20100222,0.0,,,,
20100223,0.0,,,,
20100224,0.0,,,,
20100225,0.0,,,,
20100226,0.0,,,,
20100301,0.0,,,,
20100302,0.0,,,,
20100303,0.0,,,,
20100304,0.0,,,,
20100305,0.0,,,,
20100308,0.0,,,,
20100309,0.0,,,,
20100310,0.0,,,,
20100311,0.0,,,,
20100312,0.0,,,,
20100315,0.0,,,,
20100316,0.0,,,,
20100317,0.0,,,,
20100318,0.0,,,,
20100319,0.0,,,,
20100322,0.0,,,,
20100323,0.0,,,,
20100324,0.0,,,,
20100325,0.0,,,,
20100326,0.0,,,,
20100329,0.0,,,,
20100330,0.0,,,,
20100331,0.0,,,,
20100401,0.0,,,,
20100402,0.0,,,,
20100406,-0.09848764803364941,,,,
20100407,-0.1405419799504767,,,,
20100408,-0.11113898636356838,,,,
20100409,0.8071343660580366,,,,
20100412,1.4287745295782104,,,,
20100413,2.2894550587660922,,,,
20100414,3.455690385838037,,,,
20100415,4.72775669736715,,,,
20100416,5.865909889296141,,,,
20100419,5.962343883433844,,,,
20100420,5.989704115309514,,,,
20100421,6.0411093015544886,,,,
20100422,6.199098057144931,,,,
20100423,6.241944591609118,,,,
20100426,6.548464821598873,,,,
20100427,6.422157577656809,,,,
20100428,6.069108698618937,,,,
20100429,5.144723215868208,,,,
20100430,4.321805118354495,,,,
20100504,3.7596334088933303,,,,
20100505,3.2993638575523234,,,,
