trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,0.0,,,,
20100107,0.0,,,,
20100108,0.0,,,,
20100111,0.0,,,,
20100112,0.0,,,,
20100113,0.0,,,,
20100114,0.0,,,,
20100115,0.0,,,,
20100118,0.0,,,,
20100119,0.0,,,,
20100120,0.0,,,,
20100121,0.0,,,,
20100122,0.0,,,,
20100125,0.0,,,,
20100126,0.0,,,,
20100127,0.0,,,,
20100128,0.0,,,,
20100129,0.0,,,,
20100201,-5.8369701227611115,,,,
20100202,-13.112118015716003,,,,
20100203,-19.7810471939618,,,,
20100204,-24.449487645867105,,,,
20100205,-28.582190751061738,,,,
20100208,-32.32095761383163,,,,
20100209,-34.793337558479465,,,,
20100210,-35.93385924114486,,,,
20100211,-36.98219397314052,,,,
20100212,-36.29653907270509,,,,
20100222,-36.38584500736191,,,,
20100223,-36.07651308167028,,,,
20100224,-35.66749619696068,,,,
20100225,-34.89708255091544,,,,
20100226,-34.27031820254279,,,,
20100301,-33.8446050363634,,,,
20100302,-32.707486464469625,,,,
20100303,-34.59385216326492,,,,
20100304,-36.067518385142044,,,,
20100305,-36.92890353657953,,,,
20100308,-31.339759704997714,,,,
20100309,-22.842808384752352,,,,
20100310,-15.41340927237062,,,,
20100311,-9.69674018933479,,,,
20100312,-5.244903031450887,,,,
20100315,-1.1433607262183196,,,,
20100316,3.999825919071022,,,,
20100317,8.465329330346574,,,,
20100318,13.106534638241953,,,,
20100319,17.4784331178971,,,,
20100322,23.085905173805067,,,,
20100323,28.52572269313953,,,,
20100324,32.72021532466275,,,,
20100325,36.39781569357454,,,,
20100326,39.106277377486364,,,,
20100329,40.8757703228042,,,,
20100330,42.05495435044735,,,,
20100331,42.8406123377132,,,,
20100401,43.47270902012541,,,,
20100402,43.57201933658433,,,,
20100406,49.125633082741246,,,,
20100407,53.511294440979995,,,,
20100408,56.57560189605282,,,,
20100409,59.62022777031063,,,,
20100412,62.34387820219778,,,,
20100413,64.51562012634376,,,,
20100414,57.51360884167122,,,,
20100415,50.98245223792078,,,,
20100416,42.13402796874377,,,,
20100419,29.629987147583453,,,,
