,dailyPnl,Energy,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,-0.9421621282483689,-0.9421621282483689,-0.9421621282483689
20100223,0.001937763648254604,0.001937763648254604,-0.9402243646001143
20100224,0.058021237905460335,0.058021237905460335,-0.882203126694654
20100225,0.18018996144321636,0.18018996144321636,-0.7020131652514376
20100226,-0.0037599735468801217,-0.0037599735468801217,-0.7057731387983177
20100301,-0.057817613630995635,-0.057817613630995635,-0.7635907524293133
20100302,0.17377597485983118,0.17377597485983118,-0.5898147775694821
20100303,-0.06476815397881186,-0.06476815397881186,-0.654582931548294
20100304,0.0073234642552410505,0.0073234642552410505,-0.647259467293053
20100305,-0.04214578136265663,-0.04214578136265663,-0.6894052486557096
20100308,0.009215567512371075,0.009215567512371075,-0.6801896811433386
20100309,-2.2924169473855833e-05,-2.2924169473855833e-05,-0.6802126053128124
20100310,-0.028376625670941083,-0.028376625670941083,-0.7085892309837535
20100311,-0.17031792479087662,-0.17031792479087662,-0.8789071557746301
20100312,0.06856887050509136,0.06856887050509136,-0.8103382852695387
