,dailyPnl,Precious,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,0.0,0.0,0.0
20100223,0.0,0.0,0.0
20100224,0.0,0.0,0.0
20100225,0.0,0.0,0.0
20100226,0.0,0.0,0.0
20100301,0.0,0.0,0.0
20100302,0.0,0.0,0.0
20100303,0.0,0.0,0.0
20100304,0.0,0.0,0.0
20100305,0.0,0.0,0.0
20100308,0.0,0.0,0.0
20100309,-0.005788903100171723,-0.005788903100171723,-0.005788903100171723
20100310,0.003160510291094534,0.003160510291094534,-0.002628392809077189
20100311,-0.014097511812812056,-0.014097511812812056,-0.016725904621889245
20100312,0.004456298015438636,0.004456298015438636,-0.012269606606450609
20100315,-0.010467249101811325,-0.010467249101811325,-0.022736855708261935
20100316,0.00931879597933169,0.00931879597933169,-0.013418059728930246
20100317,0.1498738299060159,0.1498738299060159,0.13645577017708566
20100318,-0.10458694890652454,-0.10458694890652454,0.03186882127056112
20100319,0.015531978558823116,0.015531978558823116,0.047400799829384235
20100322,-0.3813086216777035,-0.3813086216777035,-0.3339078218483193
