trade_date,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20100104,0.0,,,,,
20100105,0.0,,,,,
20100106,0.0,,,,,
20100107,0.0,,,,,
20100108,0.0,,,,,
20100111,0.0,,,,,
20100112,0.0,,,,,
20100113,0.0,,,,,
20100114,0.0,,,,,
20100115,0.0,,,,,
20100118,0.0,,,,,
20100119,0.0,,,,,
20100120,0.0,,,,,
20100121,0.0,,,,,
20100122,0.0,,,,,
20100125,0.0,,,,,
20100126,0.0,,,,,
20100127,0.0,,,,,
20100128,0.0,,,,,
20100129,-2.1534766353785835,,,,,
20100201,-3.992401897813904,,,,,
20100202,-5.746458350105896,,,,,
20100203,-6.305925483347586,,,,,
20100204,-6.848976390102658,,,,,
20100205,-7.280699367662234,,,,,
20100208,-8.029888438387877,,,,,
20100209,-8.476696113714299,,,,,
20100210,-8.370752749004277,,,,,
20100211,-8.10106537039162,,,,,
20100212,-7.65566975651268,,,,,
20100222,-7.036946666089018,,,,,
20100223,-6.786737128884862,,,,,
20100224,-6.632675739255992,,,,,
20100225,-6.530090502322226,,,,,
20100226,-6.1855575226554285,,,,,
20100301,-5.7419089024235594,,,,,
20100302,-5.39654848476776,,,,,
20100303,-5.03622161576151,,,,,
20100304,-4.302293515954556,,,,,
20100305,-2.9220442639730315,,,,,
20100308,-1.3572816605573328,,,,,
20100309,-0.08400034276248756,,,,,
20100310,0.7343102244872252,,,,,
20100311,1.4073042899137473,,,,,
20100312,2.737142895649302,,,,,
20100315,3.1222431066806204,,,,,
20100316,3.4542996180598307,,,,,
20100317,3.7094594536627876,,,,,
20100318,3.41312147925688,,,,,
20100319,3.155532011026571,,,,,
20100322,2.219481586928372,,,,,
20100323,1.4691020220877415,,,,,
20100324,1.0566233146319308,,,,,
20100325,0.8331531568092794,,,,,
20100326,0.8356670407729734,,,,,
20100329,0.8174566560526124,,,,,
20100330,1.626878988617853,,,,,
20100331,1.9518955935890783,,,,,
20100401,2.5137240885053074,,,,,
20100402,2.8276142414154024,,,,,
20100406,2.6657667296485545,,,,,
20100407,2.741955238843479,,,,,
20100408,1.8551270432563651,,,,,
20100409,2.0037810733718375,,,,,
