trade_date,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20100104,0.0,,,,,
20100105,0.0,,,,,
20100106,0.0,,,,,
20100107,0.0,,,,,
20100108,0.0,,,,,
20100111,0.0,,,,,
20100112,0.0,,,,,
20100113,0.0,,,,,
20100114,0.0,,,,,
20100115,0.0,,,,,
20100118,0.0,,,,,
20100119,0.0,,,,,
20100120,0.0,,,,,
20100121,0.0,,,,,
20100122,0.0,,,,,
20100125,0.0,,,,,
20100126,0.0,,,,,
20100127,0.0,,,,,
20100128,0.0,,,,,
20100129,0.0,,,,,
20100201,26.637681604067847,,,,,
20100202,47.02716886141935,,,,,
20100203,49.61228034828963,,,,,
20100204,53.967001937425664,,,,,
20100205,57.738071956860466,,,,,
20100208,56.25470579064747,,,,,
20100209,50.87350535632292,,,,,
20100210,43.609325022503,,,,,
20100211,35.314982303918434,,,,,
20100212,27.397663779986665,,,,,
20100222,20.000692164790294,,,,,
20100223,14.4847867144413,,,,,
20100224,10.491437509305458,,,,,
20100225,8.446423068643389,,,,,
20100226,7.879139621982914,,,,,
20100301,5.853297348572501,,,,,
20100302,5.248478351625608,,,,,
20100303,3.3175872046506827,,,,,
20100304,0.0844841777970322,,,,,
20100305,-4.502061235956856,,,,,
20100308,-9.642516078759767,,,,,
20100309,-11.858078165756135,,,,,
20100310,-16.16087347385655,,,,,
20100311,-16.93939853878435,,,,,
20100312,-19.778408990249556,,,,,
20100315,-18.513705902094955,,,,,
20100316,-20.54138726679873,,,,,
20100317,-24.65358524136607,,,,,
20100318,-24.379707990920334,,,,,
20100319,-26.653151266165597,,,,,
20100322,-25.436343866512512,,,,,
20100323,-21.478083689064352,,,,,
20100324,-14.883533885391541,,,,,
20100325,-12.892116560351957,,,,,
20100326,-13.51930346042477,,,,,
20100329,-17.41552260374317,,,,,
20100330,-15.828066496739757,,,,,
20100331,-9.843927233795835,,,,,
20100401,-12.441414225267296,,,,,
20100402,-20.86661768865259,,,,,
20100406,-36.16123885404884,,,,,
20100407,-59.80928171341674,,,,,
20100408,-70.87356424883407,,,,,
20100409,-91.97202909600445,,,,,
20100412,-125.71948720840282,,,,,
20100413,-156.9626337092963,,,,,
