trade_date,AU.SHF,AG.SHF
20100104,0.0,
20100105,0.0,
20100106,38.830668732022794,
20100107,40.37370265835048,
20100108,60.27985343078963,
20100111,41.65683513971206,
20100112,40.733570851327606,
20100113,68.89735042787414,
20100114,75.58988904633512,
20100115,84.67672286717472,
20100118,102.27222309282926,
20100119,107.42057611534652,
20100120,115.97940604882785,
20100121,146.66773392937813,
20100122,188.01817500021176,
20100125,220.89347753785083,
20100126,250.06397555719144,
20100127,271.48343306691976,
20100128,310.1156820500182,
20100129,344.7022952758738,
20100201,378.9609506938739,
20100202,382.997066890554,
20100203,374.46640689331355,
20100204,373.3846600053448,
20100205,408.9909192284927,
20100208,445.667706714473,
20100209,474.1779701230723,
20100210,489.2308003583523,
20100211,499.8029814152043,
20100212,493.89138742347546,
20100222,448.02204476632824,
20100223,422.92651441887097,
20100224,406.8657045783383,
20100225,409.4302295640351,
20100226,396.73484494585057,
20100301,374.7867660652864,
20100302,338.9225887361256,
20100303,288.25283510082255,
20100304,243.72183604934565,
20100305,209.64986299404575,
20100308,179.34552552809515,
20100309,166.3488931239556,
20100310,155.61432820224152,
20100311,160.86880657480876,
20100312,174.78223418499843,
20100315,195.89463989131653,
20100316,205.98786607120033,
20100317,186.98033136416763,
20100318,177.2543520594558,
20100319,167.99844109172003,
20100322,189.95850346892865,
20100323,210.04972300135867,
20100324,232.21771125739454,
20100325,270.36418141549143,
20100326,301.53584332920036,
20100329,302.7133498827089,
20100330,297.7759514532531,
20100331,305.6474243422705,
20100401,303.79684562690045,
20100402,285.01785336528934,
20100406,265.76071597229316,
20100407,238.37935464471548,
20100408,198.54092661493624,
20100409,177.65494145041043,
20100412,145.92527916079584,
20100413,143.30867984111248,
20100414,139.41942610101117,
20100415,137.64637693269043,
20100416,136.94369726487147,
20100419,174.63458349837214,
20100420,201.6437587869912,
20100421,213.36524563309828,
20100422,214.62062120870505,
20100423,231.76317179567934,
20100426,205.05105054298625,
20100427,188.84041869746127,
20100428,157.334574407475,
20100429,132.86806693773454,
20100430,114.51251760345568,
20100504,93.78893669588226,
20100505,104.1396564813391,
20100506,93.99852898636473,
20100507,86.79985899923817,
20100510,85.80973583327848,
20100511,81.19956508712507,
