trade_date,dailyPnl,NonFerrous,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,0.0,0.0,0.0
20100223,0.0,0.0,0.0
20100224,0.0,0.0,0.0
20100225,0.0,0.0,0.0
20100226,0.0,0.0,0.0
20100301,0.0,0.0,0.0
20100302,0.0,0.0,0.0
20100303,0.0,0.0,0.0
20100304,0.0,0.0,0.0
20100305,0.0,0.0,0.0
20100308,-0.052577393349892025,-0.052577393349892025,-0.052577393349892025
20100309,0.10049118999286773,0.10049118999286773,0.0479137966429757
20100310,-0.13500299807352262,-0.13500299807352262,-0.08708920143054691
20100311,-0.006290962918119883,-0.006290962918119883,-0.09338016434866679
20100312,0.0591541534313344,0.0591541534313344,-0.03422601091733239
20100315,0.25627103886658126,0.25627103886658126,0.22204502794924885
20100316,0.0034782964491356988,0.0034782964491356988,0.22552332439838454
20100317,-0.06787489254397909,-0.06787489254397909,0.15764843185440547
20100318,0.3121198375650395,0.3121198375650395,0.469768269419445
20100319,-0.3837720058780005,-0.3837720058780005,0.08599626354144452
