trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20100104,0.0,,,,
20100105,0.0,,,,
20100106,282.4345250935422,,,,
20100107,155.32763970631964,,,,
20100108,118.15672539680732,,,,
20100111,99.7433382628477,,,,
20100112,91.08022309459847,,,,
20100113,85.0040465946306,,,,
20100114,81.73677287170243,,,,
20100115,79.90581571671004,,,,
20100118,78.89614744789357,,,,
20100119,78.98330809233663,,,,
20100120,79.84090451918759,,,,
20100121,81.24026137214024,,,,
20100122,82.45507812266389,,,,
20100125,84.0309832291131,,,,
20100126,85.88546943305478,,,,
20100127,86.73768574777436,,,,
20100128,87.93077648123072,,,,
20100129,89.2842252660825,,,,
20100201,90.84521887867618,,,,
20100202,58.54521469911332,,,,
20100203,32.17820294462281,,,,
20100204,43.33007939889241,,,,
20100205,52.39405450690426,,,,
20100208,60.53468518069606,,,,
20100209,66.70085823052767,,,,
20100210,72.24431541480011,,,,
20100211,76.5032137791187,,,,
20100212,79.5507525629798,,,,
20100222,81.83956849894689,,,,
20100223,83.29631821837981,,,,
20100224,84.39912963137101,,,,
20100225,85.04063486790012,,,,
20100226,86.17243019478019,,,,
20100301,87.10608753827078,,,,
20100302,87.39580875403975,,,,
20100303,88.27992274621724,,,,
20100304,89.04109546588275,,,,
20100305,89.4567450562948,,,,
20100308,89.65026179993339,,,,
20100309,94.96908984761943,,,,
20100310,99.44714625577733,,,,
20100311,105.69385171412266,,,,
20100312,110.88992333881245,,,,
20100315,115.28860818402998,,,,
20100316,114.15140824562745,,,,
20100317,113.46277634328757,,,,
20100318,112.8107851815136,,,,
20100319,113.63680022412105,,,,
20100322,115.53772051645888,,,,
20100323,71.55971777811433,,,,
20100324,81.58335124043619,,,,
20100325,91.13919727910911,,,,
20100326,50.231452476003696,,,,
20100329,65.48282736630176,,,,
20100330,28.337098022485833,,,,
20100331,-2.2224470946338326,,,,
20100401,-27.22948334712504,,,,
20100402,3.079982432190257,,,,
20100406,-22.51067377935041,,,,
20100407,-43.378131044317406,,,,
20100408,-59.42878299203001,,,,
20100409,-72.1956718209589,,,,
20100412,-82.5702396810746,,,,
20100413,-91.09298009299938,,,,
20100414,-106.90311054568329,,,,
