,dailyPnl,NonFerrous,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0634701562529237,0.0634701562529237,0.0634701562529237
20100203,-0.3594814749975306,-0.3594814749975306,-0.2960113187446069
20100204,0.3527605139199312,0.3527605139199312,0.056749195175324285
20100205,0.18844342119097482,0.18844342119097482,0.2451926163662991
20100208,0.03815260567072501,0.03815260567072501,0.2833452220370241
20100209,0.1786635938465447,0.1786635938465447,0.4620088158835688
20100210,0.28195748960815986,0.28195748960815986,0.7439663054917287
20100211,0.1145960951231848,0.1145960951231848,0.8585624006149135
20100212,0.3613990291212106,0.3613990291212106,1.219961429736124
20100222,0.639724208410671,0.639724208410671,1.8596856381467952
20100223,0.016774573523755082,0.016774573523755082,1.8764602116705502
20100224,-0.3373702542759852,-0.3373702542759852,1.5390899573945651
20100225,-0.04003442816914715,-0.04003442816914715,1.499055529225418
20100226,-0.1179572059391729,-0.1179572059391729,1.381098323286245
20100301,0.1890027314962371,0.1890027314962371,1.570101054782482
20100302,-0.22906822512299008,-0.22906822512299008,1.341032829659492
20100303,0.05198667938161189,0.05198667938161189,1.393019509041104
20100304,-0.010166720814287123,-0.010166720814287123,1.382852788226817
20100305,-0.1751731122533592,-0.1751731122533592,1.2076796759734578
20100308,-0.5849172870856295,-0.5849172870856295,0.6227623888878283
20100309,0.20291037109184942,0.20291037109184942,0.8256727599796777
