trade_date,dailyPnl,Ferrous,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.1589595562721219,0.1589595562721219,0.1589595562721219
20100203,-0.04225826171082335,-0.04225826171082335,0.11670129456129856
20100204,0.1730191965896995,0.1730191965896995,0.28972049115099807
20100205,0.020119032055276244,0.020119032055276244,0.30983952320627434
20100208,-0.031927644550971114,-0.031927644550971114,0.2779118786553032
20100209,-0.003066592730072806,-0.003066592730072806,0.2748452859252304
20100210,0.04337346377901513,0.04337346377901513,0.3182187497042455
20100211,-0.009667175503870733,-0.009667175503870733,0.30855157420037477
20100212,0.05681501134153296,0.05681501134153296,0.3653665855419077
20100222,-0.09050144525770629,-0.09050144525770629,0.2748651402842014
20100223,0.016128198263896734,0.016128198263896734,0.2909933385480981
20100224,0.02190142772757947,0.02190142772757947,0.3128947662756776
20100225,-0.02009460354345645,-0.02009460354345645,0.29280016273222115
20100226,-0.0033705895636294975,-0.0033705895636294975,0.28942957316859164
20100301,0.008202782444529348,0.008202782444529348,0.29763235561312096
20100302,0.13148625251592677,0.13148625251592677,0.42911860812904773
20100303,0.037098450598777345,0.037098450598777345,0.4662170587278251
20100304,0.007312596971015774,0.007312596971015774,0.47352965569884087
20100305,-0.11111684195298391,-0.11111684195298391,0.362412813745857
20100308,-0.09338183291442638,-0.09338183291442638,0.2690309808314306
