,dailyPnl,Agriculture,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,0.0,0.0,0.0
20100223,0.0,0.0,0.0
20100224,0.0,0.0,0.0
20100225,0.0,0.0,0.0
20100226,0.0,0.0,0.0
20100301,0.0,0.0,0.0
20100302,0.0,0.0,0.0
20100303,0.0,0.0,0.0
20100304,0.0,0.0,0.0
20100305,0.0,0.0,0.0
20100308,0.0,0.0,0.0
20100309,-0.09313731121873509,-0.09313731121873509,-0.09313731121873509
20100310,0.26310265712228864,0.26310265712228864,0.16996534590355356
20100311,0.5655127164848675,0.5655127164848675,0.735478062388421
20100312,0.2430956905867782,0.2430956905867782,0.9785737529751992
20100315,-0.03237671222773071,-0.03237671222773071,0.9461970407474685
20100316,-0.4943298479663368,-0.4943298479663368,0.4518671927811317
20100317,-0.33452918769220474,-0.33452918769220474,0.11733800508892694
20100318,0.07255434982518542,0.07255434982518542,0.18989235491411238
20100319,-0.6055874311995049,-0.6055874311995049,-0.4156950762853925
20100322,-0.15986563837496517,-0.15986563837496517,-0.5755607146603576
