,dailyPnl,NonFerrous,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,0.0,0.0,0.0
20100223,0.0,0.0,0.0
20100224,0.0,0.0,0.0
20100225,0.0,0.0,0.0
20100226,0.0,0.0,0.0
20100301,0.0,0.0,0.0
20100302,0.0,0.0,0.0
20100303,0.0,0.0,0.0
20100304,0.0,0.0,0.0
20100305,0.0,0.0,0.0
20100308,0.0,0.0,0.0
20100309,0.02193313491539504,0.02193313491539504,0.02193313491539504
20100310,-0.07250353572741774,-0.07250353572741774,-0.0505704008120227
20100311,0.1977459290276239,0.1977459290276239,0.1471755282156012
20100312,-0.06903281351444683,-0.06903281351444683,0.07814271470115437
20100315,0.48496983688255946,0.48496983688255946,0.5631125515837139
20100316,-0.13411245617282497,-0.13411245617282497,0.4290000954108889
20100317,-0.4787708307494072,-0.4787708307494072,-0.04977073533851828
20100318,0.4159688943979412,0.4159688943979412,0.36619815905942293
20100319,-0.5207854675833733,-0.5207854675833733,-0.15458730852395036
20100322,0.6758398083045024,0.6758398083045024,0.5212524997805521
