trade_date,dailyPnl,Ferrous,cumulativePnl
20100104,0.0,0.0,0.0
20100105,0.0,0.0,0.0
20100106,0.0,0.0,0.0
20100107,0.0,0.0,0.0
20100108,0.0,0.0,0.0
20100111,0.0,0.0,0.0
20100112,0.0,0.0,0.0
20100113,0.0,0.0,0.0
20100114,0.0,0.0,0.0
20100115,0.0,0.0,0.0
20100118,0.0,0.0,0.0
20100119,0.0,0.0,0.0
20100120,0.0,0.0,0.0
20100121,0.0,0.0,0.0
20100122,0.0,0.0,0.0
20100125,0.0,0.0,0.0
20100126,0.0,0.0,0.0
20100127,0.0,0.0,0.0
20100128,0.0,0.0,0.0
20100129,0.0,0.0,0.0
20100201,0.0,0.0,0.0
20100202,0.0,0.0,0.0
20100203,0.0,0.0,0.0
20100204,0.0,0.0,0.0
20100205,0.0,0.0,0.0
20100208,0.0,0.0,0.0
20100209,0.0,0.0,0.0
20100210,0.0,0.0,0.0
20100211,0.0,0.0,0.0
20100212,0.0,0.0,0.0
20100222,0.05496024282246648,0.05496024282246648,0.05496024282246648
20100223,-0.08030505873084648,-0.08030505873084648,-0.025344815908379996
20100224,0.0806106039777406,0.0806106039777406,0.055265788069360604
20100225,0.14409609018980513,0.14409609018980513,0.19936187825916574
20100226,-0.018809923764465084,-0.018809923764465084,0.18055195449470066
20100301,0.02083662707321907,0.02083662707321907,0.20138858156791972
20100302,0.2434495323300661,0.2434495323300661,0.44483811389798583
20100303,0.05776410088817036,0.05776410088817036,0.5026022147861562
20100304,0.010146724316195736,0.010146724316195736,0.512748939102352
20100305,-0.14254545721620113,-0.14254545721620113,0.3702034818861508
20100308,-0.11333670589540362,-0.11333670589540362,0.2568667759907472
20100309,-0.049656936989520666,-0.049656936989520666,0.20720983900122653
20100310,-0.06952317574350546,-0.06952317574350546,0.13768666325772105
20100311,-0.016983359520486938,-0.016983359520486938,0.12070330373723412
20100312,-0.03647887065957738,-0.03647887065957738,0.08422443307765673
